athlete,age,country,year,sport,"Gold Medals","Silver Medals","Bronze Medals","Total Medals"
"Aleksey Nemov",24,Russia,2000,Gymnastics,2,1,3,6
"Ian Thorpe",17,Australia,2000,Swimming,3,2,0,5
"Dara Torres",33,"United States",2000,Swimming,2,0,3,5
"Inge de Bruijn",27,Netherlands,2000,Swimming,3,1,0,4
"Gary Hall Jr.",25,"United States",2000,Swimming,2,1,1,4
"Michael Klim",23,Australia,2000,Swimming,2,2,0,4
"Susie O'Neill",27,Australia,2000,Swimming,1,3,0,4
"Jenny Thompson",27,"United States",2000,Swimming,3,0,1,4
"Pieter van den Hoogenband",22,Netherlands,2000,Swimming,2,0,2,4
"Dmitry Sautin",26,Russia,2000,Diving,1,1,2,4
"Leontien Zijlaard-van Moorsel",30,Netherlands,2000,Cycling,3,1,0,4
"Therese Alshammar",23,Sweden,2000,Swimming,0,2,1,3
"Yana Klochkova",18,Ukraine,2000,Swimming,2,1,0,3
"Lenny Krayzelburg",24,"United States",2000,Swimming,3,0,0,3
"Massimiliano Rosolino",22,Italy,2000,Swimming,1,1,1,3
"Petria Thomas",25,Australia,2000,Swimming,0,2,1,3
"Matt Welsh",23,Australia,2000,Swimming,0,2,1,3
"Simona Amânar",20,Romania,2000,Gymnastics,2,0,1,3
"Svetlana Khorkina",21,Russia,2000,Gymnastics,1,2,0,3
"Yekaterina Lobaznyuk",17,Russia,2000,Gymnastics,0,2,1,3
"Yelena Zamolodchikova",17,Russia,2000,Gymnastics,2,1,0,3
"Florian Rousseau",26,France,2000,Cycling,2,1,0,3
"Kong Linghui",24,China,2000,"Table Tennis",1,1,0,2
"Li Ju",24,China,2000,"Table Tennis",1,1,0,2
"Liu Guoliang",24,China,2000,"Table Tennis",0,1,1,2
"Wang Nan",21,China,2000,"Table Tennis",2,0,0,2
"Venus Williams",20,"United States",2000,Tennis,2,0,0,2
"Olga Brusnikina",21,Russia,2000,"Synchronized Swimming",2,0,0,2
"Mariya Kiselyova",25,Russia,2000,"Synchronized Swimming",2,0,0,2
"Miya Tachibana",25,Japan,2000,"Synchronized Swimming",0,2,0,2
"Miho Takeda",24,Japan,2000,"Synchronized Swimming",0,2,0,2
"Brooke Bennett",20,"United States",2000,Swimming,2,0,0,2
"Beatrice Coada-Caslaru",25,Romania,2000,Swimming,0,1,1,2
"Josh Davis",28,"United States",2000,Swimming,0,2,0,2
"Tom Dolan",25,"United States",2000,Swimming,1,1,0,2
"Anthony Ervin",19,"United States",2000,Swimming,1,1,0,2
"Domenico Fioravanti",23,Italy,2000,Swimming,2,0,0,2
"Grant Hackett",20,Australia,2000,Swimming,2,0,0,2
"Geoff Huegill",21,Australia,2000,Swimming,0,1,1,2
"Leisel Jones",15,Australia,2000,Swimming,0,2,0,2
"Klete Keller",18,"United States",2000,Swimming,0,1,1,2
"Jason Lezak",24,"United States",2000,Swimming,1,1,0,2
"Diana Mocanu",16,Romania,2000,Swimming,2,0,0,2
"Martina Moravcová",24,Slovakia,2000,Swimming,0,2,0,2
"Ed Moses",20,"United States",2000,Swimming,1,1,0,2
"Diana Munz",18,"United States",2000,Swimming,1,1,0,2
"Mai Nakamura",21,Japan,2000,Swimming,0,1,1,2
"Todd Pearson",22,Australia,2000,Swimming,2,0,0,2
"Adam Pine",24,Australia,2000,Swimming,1,1,0,2
"Claudia Poll",27,"Costa Rica",2000,Swimming,0,0,2,2
"Megan Quann-Jendrick",16,"United States",2000,Swimming,2,0,0,2
"Giaan Rooney",17,Australia,2000,Swimming,0,2,0,2
"Courtney Shealy",22,"United States",2000,Swimming,2,0,0,2
"Ashley Tappin",25,"United States",2000,Swimming,2,0,0,2
"Stev Theloke",22,Germany,2000,Swimming,0,0,2,2
"Amy Van Dyken",27,"United States",2000,Swimming,2,0,0,2
"Neil Walker",24,"United States",2000,Swimming,1,1,0,2
"Igor Basinsky",37,Belarus,2000,Shooting,0,1,1,2
"Tao Luna",26,China,2000,Shooting,1,1,0,2
"Georgeta Damian-Andrunache",24,Romania,2000,Rowing,2,0,0,2
